ID,Group,Timeline,Test,Value
N,10-sec,Post,Max_Velocity,8.4
N,10-sec,Post,CMJH,43.9
N,10-sec,Post,MAS,3.88
J,20-sec,Post,Time_10m,1.74
J,20-sec,Post,Time_20m,3.01
J,20-sec,Post,Time_40m,5.39
J,20-sec,Post,Max_Velocity,9.25
J,20-sec,Post,CMJH,42.8
J,20-sec,Post,MAS,4.17
Q,10-sec,Post,Time_10m,1.68
Q,10-sec,Post,Time_20m,3.02
Q,10-sec,Post,Time_40m,5.41
Q,10-sec,Post,Max_Velocity,9.69
Q,10-sec,Post,CMJH,40.2
Q,10-sec,Post,MAS,4.44
F,10-sec,Post,Time_10m,1.65
F,10-sec,Post,Time_20m,2.91
F,10-sec,Post,Time_40m,5.27
F,10-sec,Post,Max_Velocity,9.69
F,10-sec,Post,CMJH,43.7
F,10-sec,Post,MAS,4.62
I,20-sec,Post,Time_10m,1.76
I,20-sec,Post,Time_20m,3.19
I,20-sec,Post,Time_40m,5.56
I,20-sec,Post,Max_Velocity,9.11
I,20-sec,Post,CMJH,38.4
I,20-sec,Post,MAS,4.46
S,20-sec,Post,Time_10m,1.59
S,20-sec,Post,Time_20m,2.9
S,20-sec,Post,Time_40m,5.23
S,20-sec,Post,Max_Velocity,9.61
S,20-sec,Post,CMJH,44.63
S,20-sec,Post,MAS,4.33
K,20-sec,Post,Time_10m,1.8
K,20-sec,Post,Time_20m,3.29
K,20-sec,Post,Time_40m,5.91
K,20-sec,Post,Max_Velocity,8.64
K,20-sec,Post,CMJH,32.2
K,20-sec,Post,MAS,4.69
B,20-sec,Post,Time_10m,1.65
B,20-sec,Post,Time_20m,2.85
B,20-sec,Post,Time_40m,5.25
B,20-sec,Post,Max_Velocity,9.81
B,20-sec,Post,CMJH,44.65
B,20-sec,Post,MAS,4.44
M,10-sec,Post,Time_10m,1.62
M,10-sec,Post,Time_20m,2.85
M,10-sec,Post,Time_40m,5.23
M,10-sec,Post,Max_Velocity,9.42
M,10-sec,Post,CMJH,45.12
M,10-sec,Post,MAS,4.28
O,20-sec,Post,Time_10m,1.6
O,20-sec,Post,Time_20m,2.83
O,20-sec,Post,Time_40m,5.29
O,20-sec,Post,Max_Velocity,9.11
O,20-sec,Post,CMJH,44.56
O,20-sec,Post,MAS,3.91
G,20-sec,Post,Time_10m,1.58
G,20-sec,Post,Time_20m,2.81
G,20-sec,Post,Time_40m,5.15
G,20-sec,Post,Max_Velocity,9.69
G,20-sec,Post,CMJH,45.31
G,20-sec,Post,MAS,4.63
R,10-sec,Post,Time_10m,1.61
R,10-sec,Post,Time_20m,2.95
R,10-sec,Post,Time_40m,5.27
R,10-sec,Post,Max_Velocity,9.43
R,10-sec,Post,CMJH,46.2
R,10-sec,Post,MAS,4.47
D,20-sec,Post,Time_10m,1.76
D,20-sec,Post,Time_20m,3.15
D,20-sec,Post,Time_40m,5.72
D,20-sec,Post,Max_Velocity,9.03
D,20-sec,Post,CMJH,40.2
D,20-sec,Post,MAS,4.22
C,10-sec,Post,Time_10m,1.59
C,10-sec,Post,Time_20m,2.94
C,10-sec,Post,Time_40m,5.35
C,10-sec,Post,Max_Velocity,9.17
C,10-sec,Post,CMJH,41.25
C,10-sec,Post,MAS,4.46
E,10-sec,Post,Time_10m,1.65
E,10-sec,Post,Time_20m,2.96
E,10-sec,Post,Time_40m,5.45
E,10-sec,Post,Max_Velocity,9.58
E,10-sec,Post,CMJH,43.26
E,10-sec,Post,MAS,4.61
T,10-sec,Post,Time_10m,1.69
T,10-sec,Post,Time_20m,3.01
T,10-sec,Post,Time_40m,5.29
T,10-sec,Post,Max_Velocity,9.33
T,10-sec,Post,CMJH,43.67
T,10-sec,Post,MAS,3.85
L,10-sec,Post,Time_10m,1.66
L,10-sec,Post,Time_20m,2.95
L,10-sec,Post,Time_40m,5.26
L,10-sec,Post,Max_Velocity,9.81
L,10-sec,Post,CMJH,47.3
L,10-sec,Post,MAS,4.59
W,20-sec,Post,Time_10m,1.58
W,20-sec,Post,Time_20m,2.91
W,20-sec,Post,Time_40m,5.2
W,20-sec,Post,Max_Velocity,9.39
W,20-sec,Post,CMJH,42.35
W,20-sec,Post,MAS,4.64
U,10-sec,Post,Time_10m,1.73
U,10-sec,Post,Time_20m,2.92
U,10-sec,Post,Time_40m,5.34
U,10-sec,Post,Max_Velocity,8.97
U,10-sec,Post,CMJH,38.18
U,10-sec,Post,MAS,4.41
