ID,Sport,Sex,Age,Body mass,10 m,20 m,30 m,40 m,F0,V0,Pmax,FV Slope,RF max,DRF
,,,(y),(kg),(s),(s),(s),(s),(N/kg),(m/s),(W/kg),(N/s/m/kg),(%),(%)
209,Cross country skiing,M,18.5552967402334,72,2.05,3.36,4.56,5.75,8.38845503049614,8.61941491179643,18.075893594198,-0.973204691540698,46.0841606582155%,-9.06684298220814%
210,Cross country skiing,M,21.5917808219178,72,2.148,3.487,4.772,6.05,7.82233797586003,8.19193028837221,16.020011847583,-0.954883366984119,43.9170784746884%,-8.97551714845313%
211,Cross country skiing,M,23.8986301369863,72,2.133,3.526,4.81,5.979,8.02070128452811,7.98238249002584,16.0060763728362,-1.00480042074533,43.9035663525232%,-9.45805960190661%
212,Cross country skiing,M,19.1933005771182,73.5,2.14,3.5,4.8,6.05,8.03556133570857,8.02205414216784,16.1154270244412,-1.00168375746428,44.0261490612539%,-9.42476285698644%
213,Cross country skiing,M,30.5534246575342,74,2.23,3.616,4.928,6.176,7.11946533515992,8.01753063282903,14.2701328535023,-0.887987294492915,41.8229863096896%,-8.40303321328569%
214,Cross country skiing,M,20.1847860540335,76.5,1.95,3.12,4.27,5.34,9.32472826704714,9.33702375364563,21.7663023314275,-0.99868314712237,49.5010068544149%,-9.16565172221608%
215,Cross country skiing,M,18.8648799467275,78,2.05,3.39,4.58,5.77,8.32999771262608,8.54711141659211,17.7993546374431,-0.974598002367846,45.8095019984381%,-9.09783894549367%
216,Cross country skiing,M,18.7106737696601,79,1.98,3.22,4.31,5.37,8.39277212297428,9.55381378343849,20.0457454974325,-0.878473488516505,47.87208235566%,-8.09447428146777%
217,Cross country skiing,M,22.5643835616438,79,2.242,3.611,4.911,6.166,6.92526482584595,8.15794424728058,14.1239810867261,-0.848898278283093,41.5615438289676%,-8.03535068008796%
218,Cross country skiing,M,19.1059899797057,80,2,3.25,4.39,5.53,8.54464283648208,9.15914277828567,19.5654009321988,-0.93290857488755,47.5107684340552%,-8.63074513194649%
219,Cross country skiing,M,24.1013698630137,80,2.198,3.62,4.956,6.286,7.63744013720602,7.71530840020187,14.7313015116561,-0.98990730390067,42.4576769523047%,-9.37579200455893%
220,Cross country skiing,W,28.0370325976662,52,2.43,4.03,5.54,7.05,6.42139925764008,6.8212865586454,10.9505511109589,-0.941376557403457,37.4671253460457%,-9.04568260509228%
221,Cross country skiing,W,17.8532799657534,53,2.17,3.53,4.8,6.12,7.4659634141099,8.27651997157677,15.4480488259855,-0.902065534759719,43.2129698211402%,-8.47347991064283%
222,Cross country skiing,W,18.546516013445,60,2.16,3.5,4.78,6.05,7.64529387176835,8.25241356411151,15.7730317122499,-0.926431257034497,43.6164640132633%,-8.7044266736681%
223,Cross country skiing,W,20.1465174720954,60,2.38,3.98,5.51,7.05,7.01182496534908,6.69087928691071,11.7288186060244,-1.04796763843375,38.5656644695553%,-10.0641228919423%
224,Cross country skiing,W,18.9903523909183,61,2.28,3.73,5.14,6.52,7.23080554655506,7.42667676247639,13.4252138816465,-0.973625994211708,40.855456114182%,-9.26185280488379%
225,Cross country skiing,W,17.5718304160325,63,2.28,3.72,5.08,6.5,6.92404457422182,7.68305403427202,13.2994521498636,-0.901209928152989,40.6389906336287%,-8.56571793536659%
226,Cross country skiing,W,19.2321181506849,64.5,2.25,3.7,5.07,6.42,7.29714953961668,7.55800655192225,13.7879760076948,-0.965486003417234,41.3103554943813%,-9.17072058478215%
227,Cross country skiing,W,19.3028947234906,66,2.19,3.64,5.04,6.4,8.20544522361432,7.35590172128713,15.089612161078,-1.11549141553492,42.726732490826%,-10.5742221125313%
228,Fencing,M,23.3643835616438,68.7,2.099,3.434,4.67,5.878,8.05142468194843,8.4056515156825,16.9193675203058,-0.957858491626355,44.8874723242685%,-8.96339241481457%
229,Fencing,M,24.4931506849315,74,2.07,3.38,4.6,5.81,8.28705090058484,8.53170387706969,17.6756660744984,-0.97132425362976,45.6806160209383%,-9.06742117253561%
230,Fencing,M,23.9890410958904,74.1,2.13,3.47,4.71,5.95,7.7148943717046,8.41216405345076,16.2247392774557,-0.917111735183037,44.1106486724769%,-8.6055818027423%
231,Fencing,M,23.7643835616438,74.7,2.16,3.54,4.82,6.05,7.6649415046165,8.08910164065798,15.5006227251352,-0.947563999701828,43.3338604101473%,-8.92903179278141%
232,Fencing,M,18.4858993531202,75,2.14,3.54,4.87,6.16,8.28397368655084,7.74155799871558,16.0327156885668,-1.07006544263122,43.8733697221796%,-10.0921286981836%
233,Fencing,M,21.9013698630137,76.4,2.124,3.468,4.711,5.95,7.80908888839568,8.36228572877283,16.3254581415374,-0.933846216415003,44.2397607444571%,-8.76467484020319%
234,Fencing,M,20.1808219178082,78,2.18,3.54,4.78,6.08,7.17482623057233,8.43145047098563,15.1235480002498,-0.850959897737928,42.7491344812921%,-8.01605029668545%
235,Fencing,M,20.1890410958904,78,2.192,3.543,4.833,6.112,7.36961514877555,8.18804017900274,15.0856762354904,-0.900046285517023,42.8088385583686%,-8.49030901923683%
236,Fencing,M,22.2478942795535,78,2.09,3.47,4.7,5.94,8.15020482355261,8.23365969484288,16.7765032400998,-0.989864182589118,44.7466314001622%,-9.28705859371719%
237,Fencing,M,20.1561643835616,94,2.2,3.62,4.92,6.21,7.3793486874875,7.88298309674659,14.5428202421158,-0.936111190005348,42.2226079798663%,-8.8722097132463%
238,Fencing,W,18.6684931506849,59,2.29,3.75,5.11,6.5,6.83129956014615,7.64415614676994,13.0548801307795,-0.893663005959491,40.3109137415093%,-8.49831870750931%
239,Fencing,W,17.5874101661593,62,2.34,3.91,5.41,6.91,7.22549535092819,6.82439966253247,12.3274170086261,-1.05877376886319,39.3757329308678%,-10.1441782417247%
240,Fencing,W,20.4739726027397,66,2.28,3.72,5.1,6.44,7.04543954630956,7.5815397870488,13.3538200593982,-0.929288738726264,40.7443936868851%,-8.83899390759333%
241,Fencing,W,18.9342465753425,68,2.4,3.94,5.42,6.92,6.51202739105036,7.02344061898309,11.4342094225584,-0.927184800772649,38.1646397486481%,-8.90151246058708%
242,Fencing,W,19.0339296042618,68,2.39,3.96,5.45,6.95,6.67102822666537,6.89852488757388,11.5050635618397,-0.967022419340939,38.2888313599872%,-9.28817712839765%
243,Handball,M,29.4794520547945,77.7,1.986,3.269,4.446,5.624,9.07726135167695,8.73326696573437,19.8185366754844,-1.0393889694764,47.7387843357007%,-9.63520773057095%
244,Handball,M,23.6699183155758,79.4,2.01,3.23,4.39,5.52,8.56734735338019,9.17435108250748,19.6499631164253,-0.933836875908897,47.5904298748544%,-8.63568996042589%
245,Handball,M,23.1219395611365,83.7,2,3.24,4.38,5.53,8.543097823889,9.19817511759641,19.645227457722,-0.92878181972702,47.5836374065737%,-8.59195606269372%
246,Handball,M,28.1452054794521,84.5,1.972,3.203,4.345,5.473,8.94805592946064,9.1532280304814,20.4758990879636,-0.97758472744943,48.3741144152478%,-9.02491738374188%
247,Handball,M,21.7191931126332,85,2.04,3.32,4.51,5.69,8.43370680087909,8.7614883689586,18.4729560107773,-0.96258836920439,46.483629840748%,-8.96191582060997%
248,Handball,M,27.8617014205987,85.3,2,3.23,4.38,5.47,8.62469390594495,9.1662434495592,19.7640110049553,-0.94091914025693,47.7064377575976%,-8.70439714992797%
249,Handball,M,24.5791895928463,86.7,2.06,3.26,4.4,5.54,7.78845865068587,9.55710282061182,18.6087750346721,-0.814939296654681,46.3322237902522%,-7.55122879892475%
250,Handball,M,21.9521417427702,89,2.03,3.28,4.44,5.55,8.31592949692029,9.06962362423896,18.8555876556935,-0.916899073374513,46.8219814528381%,-8.51374801911256%
251,Handball,M,26.5797637303399,94.4,2.02,3.25,4.41,5.53,8.44406908667238,9.12573547702175,19.2645852086672,-0.925302854540789,47.226849235724%,-8.58248149070921%
252,Handball,M,22.7630121131405,96.2,2.05,3.31,4.46,5.62,7.99298259541424,9.13782224890066,18.259613548863,-0.874714169054431,46.1682338403274%,-8.13945834815018%
253,Handball,M,21.9659453640284,96.6,2.03,3.24,4.37,5.5,8.0765808823995,9.48137241067769,19.1442677877474,-0.851836689096175,46.9725489567243%,-7.88986996049462%
254,Handball,M,24.013698630137,97.4,2.08,3.4,4.62,5.81,8.17481361099597,8.47417248709502,17.318695147358,-0.964673969457793,45.3239838469032%,-9.03773364618207%
255,Handball,M,23.4917763508371,98.4,2.08,3.36,4.55,5.72,7.93569913739584,8.8294298770583,17.5169247647672,-0.898778205149502,45.4654671440088%,-8.39865416985475%
256,Handball,M,31.7917808219178,99,1.95,3.17,4.29,5.37,9.07498547188563,9.28863973665786,21.0735676659374,-0.976998325822774,48.914631456723%,-9.0084094790699%
257,Handball,M,20.2641149797057,100,2.05,3.28,4.43,5.57,7.98923609232151,9.27184308277996,18.5187358498218,-0.861666447651539,46.3948312129232%,-8.00825699116334%
258,Handball,M,19.3205479452055,103.9,2.06,3.34,4.49,5.66,7.88093918988458,9.05957919897501,17.8494981882663,-0.869901241194097,45.7496923701718%,-8.11371238959749%
259,Handball,M,20.3438887303399,105.5,2.1,3.38,4.64,5.88,8.21914824878812,8.41558143955626,17.2922278628656,-0.976658393459918,45.3021111859776%,-9.15917682217889%
260,Handball,M,19.1410780695079,106.3,1.97,3.18,4.24,5.37,8.2808333773064,9.89794673563275,20.4908119238072,-0.836621331522758,48.1798204826758%,-7.70493709927813%
261,Handball,W,29.455986586758,61,2.04,3.31,4.49,5.69,8.33882234169318,8.91137109001094,18.5775850851255,-0.935750768031695,46.5573663326987%,-8.68152608049999%
262,Handball,W,22.2667612886859,63,2.08,3.35,4.59,5.83,8.29859390182469,8.59621178278636,17.8341176698561,-0.965378019006275,45.836496067508%,-8.9979334357687%
263,Handball,W,23.2246575342466,66,2.11,3.43,4.7,5.96,8.1663532803032,8.2783729449139,16.9010295135677,-0.986468395981179,44.8754368264939%,-9.24311700127488%
264,Handball,W,23.5688269913749,66,2.12,3.5,4.76,6.04,7.9960699537279,8.13311324224787,16.2582356066512,-0.983149959377414,44.1850798003601%,-9.23819061732491%
265,Handball,W,35.9847081430746,66,2.23,3.62,4.93,6.24,7.10705676341513,8.01857920859409,14.2471243993546,-0.886323696322409,41.7910098311412%,-8.38609135753399%
266,Handball,W,19.8264158422121,67.4,2.18,3.59,4.91,6.21,7.72549264704573,7.81491185595537,15.0935110201234,-0.988557873644922,42.8772773578937%,-9.34152596754356%
267,Handball,W,24.2082191780822,68,2.15,3.54,4.81,6.08,7.71544701239038,8.09112876941292,15.6066688227082,-0.953568683958814,43.456797355712%,-8.98211980818708%
268,Handball,W,24.8456640030441,68,2.04,3.31,4.49,5.66,8.34399613537796,8.89261724944266,18.5499909906862,-0.938306001633087,46.5382086508389%,-8.71604572108192%
269,Handball,W,28.7490274289701,69,2.12,3.43,4.68,5.91,7.89503773686554,8.44449395641374,16.6673996136549,-0.934933197609683,44.6087779919554%,-8.7602311350445%
270,Handball,W,31.7546454528158,69.5,2.15,3.5,4.76,6.02,7.62975139714444,8.29066573235,15.8139296136637,-0.920282115267693,43.6621696937511%,-8.65421748405635%
271,Handball,W,24.8456594368341,69.6,2.12,3.43,4.68,5.88,7.89539494276932,8.44320000357569,16.6655996522553,-0.935118786647909,44.6074207799395%,-8.76271954849638%
272,Handball,W,24.3972602739726,70,2.03,3.26,4.42,5.55,8.30445721711209,9.18677714709559,19.0727994452996,-0.903957621279357,47.0052124808517%,-8.370400009757%
273,Handball,W,30.7687651572806,71,2.09,3.45,4.68,5.93,8.1368860909614,8.31035545648859,16.9051039312118,-0.979126119642482,44.8832957285059%,-9.17772792183302%
274,Handball,W,30.7765966197362,71,2.15,3.51,4.81,6.1,7.91638761278965,8.03106590788653,15.8942576676726,-0.985720663183169,43.7875199755339%,-9.28365592061404%
275,Handball,W,25,71.5,2.22,3.63,4.98,6.35,7.47827180478352,7.72124562331184,14.4353933606553,-0.96853178484638,42.1041874227631%,-9.17940876017012%
276,Handball,W,19.8203736998985,72,2.04,3.34,4.52,5.69,8.35885382611905,8.75502077934033,18.2954847347852,-0.954749741524755,46.3011455730076%,-8.88798058675692%
277,Handball,W,29.8586787163876,72,2.15,3.46,4.68,5.88,7.34957914289649,8.69634313800703,15.9786155366419,-0.845134446314042,43.6978888031807%,-7.92814272457398%
278,Handball,W,33.2807187975647,72,2.09,3.42,4.65,5.9,8.12152356627579,8.42355145421582,17.1030179117876,-0.964144827798391,45.0895272256899%,-9.02644632844271%
279,Handball,W,23,72.8,2.239,3.654,4.997,6.328,7.23207749153896,7.7649561541693,14.0391911563387,-0.93137389934337,41.6042371033546%,-8.83684265783209%
280,Handball,W,19,73.4,2.149,3.536,4.832,6.118,7.91343894445465,7.95372345664177,15.7353262388029,-0.994935137938008,43.6102619188172%,-9.38177450286661%
281,Handball,W,25.7025114789447,73.4,2,3.23,4.37,5.52,8.53797271782151,9.25263176462386,19.7496793936018,-0.922761538016162,47.6721841011277%,-8.52712877642615%
282,Handball,W,28.7657100773719,75,2.15,3.48,4.76,6.02,7.76610377459925,8.23810739109212,15.9944992263786,-0.942704847838807,43.8872036241449%,-8.86816331910099%
283,Handball,W,24.6587289764079,77,2.2,3.59,4.85,6.12,7.10698607270821,8.22435541781317,14.6125948528501,-0.864138976449772,42.1881723341456%,-8.1672820365437%
284,Handball,W,26.6602739726027,77.5,2.17,3.53,4.81,6.07,7.54882715971184,8.16144722983187,15.4023386277774,-0.924937323875505,43.2084040472275%,-8.72295487334252%
285,Handball,W,30.5342465753425,78,2.2,3.64,4.96,6.3,7.51854968651389,7.7292811308788,14.5282460558866,-0.972735958131601,42.2194101423599%,-9.22176491815937%
286,Handball,W,27.0100578703704,78.1,2.18,3.54,4.82,6.1,7.43889200226082,8.17844066464155,15.2096342127917,-0.909573390245639,42.9695000426309%,-8.58294601571217%
287,Handball,W,20.7534246575342,79,2.18,3.53,4.83,6.13,7.57058998409268,8.101047352028,15.3324269859809,-0.934519902812008,43.1387820799717%,-8.81948885589214%
288,Handball,W,20.4972044964485,80,2.19,3.59,4.95,6.3,7.88937689065387,7.65309434348492,15.0945364138709,-1.03087411922082,42.8650433459588%,-9.76335980223871%
289,Handball,W,17.372602739726,81,2.18,3.59,4.91,6.23,7.73186234735838,7.79341235553535,15.0643978873003,-0.992102303154374,42.8506099656128%,-9.38923887402428%
290,Handball,W,22.2176959982243,82,2.22,3.59,4.9,6.18,7.21271330116319,8.04053465219609,14.4985178085896,-0.897043991868526,42.120114609434%,-8.49318399455565%
291,Handball,W,31.2204522767631,83,2.34,3.81,5.18,6.55,6.44070969582224,7.59807187816883,12.2342438038191,-0.847676857904966,39.1424251697844%,-8.10434761133905%
292,Handball,W,22.3572928716388,87,2.14,3.54,4.82,6.08,7.91997035446574,7.95668871878462,15.7541846931215,-0.99538522045833,43.6381748282865%,-9.39643566619973%
293,Ice hockey,M,24.346418600964,75.5,2.02,3.21,4.36,5.5,8.34809705455027,9.42873560486884,19.6779999827847,-0.885388816103769,47.5437063885846%,-8.1700479410629%
294,Ice hockey,M,21.4345661149163,77,1.98,3.15,4.26,5.37,8.54297559544062,9.74866055180228,20.8206422955704,-0.876323013817651,48.5661243834541%,-8.04341548398044%
295,Ice hockey,M,20.3764314117199,79,2.03,3.27,4.44,5.61,8.38845621053157,9.06089012732413,19.0017200153741,-0.925787212145442,46.9677136301093%,-8.5838099010059%
296,Ice hockey,M,20.9627037671233,80,2.02,3.22,4.34,5.43,8.11252705486798,9.62382661014271,19.5183884365353,-0.842962719872577,47.2921566982399%,-7.7784035668558%
297,Ice hockey,M,20.3051697108067,80.5,1.94,3.17,4.29,5.38,9.21986575686791,9.24847457195476,21.3174235023073,-0.996906644997046,49.1163265545476%,-9.17126149841747%
298,Ice hockey,M,28.0366664764079,81.5,2.18,3.46,4.68,5.87,7.03804757552527,8.89222847183935,15.6459817593114,-0.79148298964809,43.1422108070436%,-7.42876279331919%
299,Ice hockey,M,18.4507438165906,83,2.03,3.28,4.45,5.59,8.39321549319156,9.00831362698093,18.9021793753763,-0.931718836703567,46.880400069067%,-8.64810131472078%
300,Ice hockey,M,22.4450188039066,83,2.08,3.41,4.62,5.81,8.09719512596582,8.51704295541921,17.2410396765655,-0.950704976873899,45.2301239891411%,-8.89568752512764%
301,Ice hockey,M,27.5655445522577,83,2.15,3.49,4.74,6.02,7.56131540389634,8.37477025520386,15.8310698336915,-0.902868397995508,43.6617563359087%,-8.4920386598608%
302,Ice hockey,M,22.2395544774226,83.5,1.98,3.18,4.28,5.35,8.46681497964928,9.66500949712361,20.4579617971747,-0.876027590264559,48.244821572386%,-8.0606034154116%
303,Ice hockey,M,22.5765827625571,86,1.95,3.16,4.31,5.41,9.34051112767484,9.13689167585999,21.3358095926824,-1.02228541817485,49.1228163797146%,-9.41785743365903%
304,Ice hockey,M,23.5167415334855,86,1.97,3.23,4.48,5.65,10.0124363861409,8.36382706832339,20.9355716165677,-1.19711183700358,48.4052746558337%,-11.1129538076174%
305,Ice hockey,M,26.491673325723,86.5,1.98,3.2,4.32,5.43,8.64191070061191,9.38985517797431,20.2865724849331,-0.920345472514119,48.1670637398593%,-8.48982003838686%
306,Ice hockey,M,15.6150995053272,87,2.03,3.31,4.48,5.62,8.40556367891111,8.86968764798788,18.6386810843034,-0.947673019896923,46.6396875410308%,-8.81435758518079%
307,Ice hockey,M,23.0949980022831,87,1.98,3.23,4.39,5.59,9.00081820044733,8.95596619844897,20.1527558903976,-1.0050080584277,48.0770250506753%,-9.30179334368317%
308,Ice hockey,M,19.7287671232877,88,2.051,3.313,4.476,5.64,8.07690693776674,9.04791448657111,18.2697908222266,-0.892681617377625,46.2102902234875%,-8.30425271332402%
309,Ice hockey,M,21.7827354134957,88,2,3.28,4.44,5.59,8.73095033860429,8.86793498127467,19.3563749818702,-0.984552813821974,47.3412579674694%,-9.1392796375916%
310,Ice hockey,M,30.0973014332826,88,2.08,3.36,4.55,5.73,7.9312508068915,8.84630122314529,17.5405584285191,-0.896561241453132,45.4812134188418%,-8.36907327164267%
311,Ice hockey,M,32.2615816527144,88,2,3.33,4.5,5.73,8.85172015704898,8.59232118976622,19.0142056678232,-1.03018962647622,46.9938472460534%,-9.59055026494741%
312,Ice hockey,M,28.5408589548453,89,2.06,3.35,4.54,5.68,8.18095914429782,8.7565602683084,17.9092654499031,-0.934266297909947,45.9059909188955%,-8.71641821749055%
313,Ice hockey,M,27.965619514206,90,1.94,3.18,4.32,5.42,9.41769178062795,9.04359501654701,21.2924476136657,-1.04136593505088,49.0700774326885%,-9.60542448413326%
314,Ice hockey,M,21.439417078894,91,1.98,3.23,4.38,5.49,8.91466205049036,9.0181495174504,20.0984388172158,-0.988524534134216,48.0339469224995%,-9.15011350652152%
315,Ice hockey,M,18.9846482115677,92,2.08,3.33,4.5,5.67,7.78089672193473,9.11779518387261,17.7361556643667,-0.853374808824116,45.5884109963133%,-7.95228594840425%
316,Ice hockey,M,24.8986301369863,92,2.046,3.336,4.501,5.658,8.16583840877184,8.88951708632177,18.14759001473,-0.918591902065924,46.129886895725%,-8.55949671767487%
317,Ice hockey,M,23.4591576610858,92.5,2.03,3.31,4.49,5.66,8.48906921588372,8.79362712444697,18.6624273295257,-0.965366065190943,46.674093841551%,-8.98713928803172%
318,Ice hockey,M,26.8287991184678,93,2.04,3.34,4.52,5.68,8.36587197932399,8.73029423444976,18.2591309768093,-0.958257735038556,46.2745152024125%,-8.93547439970553%
319,Ice hockey,M,34.7929522450533,93,2.14,3.48,4.73,5.96,7.67871307498723,8.33958300196735,16.009316259287,-0.920755039331797,43.8882522182838%,-8.66447576374151%
320,Ice hockey,M,26.3682863077118,93.5,2.03,3.21,4.32,5.43,7.92026468205656,9.82183851513989,19.4478901760813,-0.806393290812901,47.1066610202392%,-7.44640549556381%
321,Ice hockey,M,30.3123287671233,94,2.09,3.378,4.518,5.721,7.46146890382861,9.20054544087507,17.1623959263378,-0.810981147995824,44.862955694115%,-7.57013793446459%
322,Ice hockey,M,34.8805747399797,95,2.12,3.44,4.64,5.92,7.55248288402057,8.69013192498776,16.4080181558377,-0.869087253129498,44.2364594194982%,-8.15396693849857%
323,Ice hockey,M,28.6398962772704,96,2.04,3.29,4.45,5.59,8.19149564356462,9.08274618143786,18.6003189442129,-0.901874331829874,46.5554646880111%,-8.38554412513177%
324,Ice hockey,M,27.0396100963978,99,1.95,3.14,4.21,5.29,8.62366411089799,9.8589365259703,21.2550392726578,-0.874705308040236,48.9579513422605%,-8.03244831009887%
325,Ice hockey,M,27.2177845636733,102,2.04,3.31,4.48,5.62,8.27819521297478,8.91301393379642,18.4459173199828,-0.928776200111779,46.4417846680204%,-8.6523861491213%
326,Ice hockey,M,20.612136732623,112,2.12,3.47,4.73,6.02,7.99635964584919,8.18774977832857,16.3680479794343,-0.976624819069832,44.3226874722479%,-9.19982620759713%
327,Mogul skiing,M,21.3753424657534,64.6,2.114,3.377,4.565,5.721,7.50832090370502,9.07898705180864,17.0419870663905,-0.826999847104008,44.7765270675645%,-7.70068327900148%
328,Mogul skiing,M,18.4739726027397,66.5,2.005,3.251,4.408,5.519,8.60821599578902,9.09741144260343,19.5781206751232,-0.946226962482593,47.5238592632518%,-8.74141254195572%
329,Mogul skiing,M,20.65873170345,67,2.01,3.29,4.47,5.61,8.7485072404797,8.79930530878855,19.245196551282,-0.994227036507289,47.2207935772783%,-9.21384569746837%
330,Mogul skiing,M,19.4931506849315,67.7,2.014,3.302,4.473,5.639,8.62181366663453,8.83177034053761,19.0364695556562,-0.976227113499613,47.0230361579572%,-9.05121002811861%
331,Mogul skiing,M,27.0904109589041,67.8,2.06,3.309,4.507,5.665,8.22016909331501,8.91970554123137,18.3303719528752,-0.921574042474525,46.3003753612411%,-8.55756270842901%
332,Mogul skiing,M,16.6219178082192,69,2.012,3.266,4.441,5.588,8.66825963671791,8.94417905881519,19.3826165797763,-0.969150950547514,47.352477673595%,-8.97115915640671%
333,Mogul skiing,M,20.3068493150685,69.8,2.051,3.337,4.576,5.763,8.6798275163744,8.48346059565627,18.4087436780638,-1.02314703044872,46.3989720799882%,-9.5297839574069%
334,Mogul skiing,M,19.8534741248097,74,2.05,3.33,4.53,5.69,8.37635135704681,8.73859671843172,18.2993891202801,-0.9585465066009,46.3038888988427%,-8.91948497380946%
335,Mogul skiing,M,20.2154296993912,75,2.06,3.32,4.51,5.62,8.16507197236458,8.91104753515033,18.1898361184161,-0.916286434356546,46.1595023948562%,-8.52074617076135%
336,Mogul skiing,M,22.9027923008625,77,2.08,3.36,4.53,5.69,7.77852596839547,9.01275749966393,17.5264920644967,-0.863057279493597,45.3912184464723%,-8.03994381416981%
337,Mogul skiing,M,19.3287671232877,78,2.054,3.334,4.515,5.699,8.17815439293169,8.86686655250796,18.128650911983,-0.922327447300821,46.107782979243%,-8.58390464852894%
338,Mogul skiing,M,27.089087962963,79,2.09,3.42,4.69,5.91,8.43100113778032,8.19661661904231,17.2764210102737,-1.02859527651854,45.25417706293%,-9.64033418225409%
339,Mogul skiing,M,22.0642077308473,79.4,2,3.23,4.37,5.46,8.5375709580002,9.25411311206224,19.7519118368979,-0.922570413243808,47.6736104033448%,-8.52454478979507%
340,Mogul skiing,M,23,86,2.1,3.379,4.646,5.873,8.26500762344707,8.40385378005863,17.3644788896298,-0.98347827553342,45.368724656569%,-9.20820026733166%
341,Mogul skiing,W,18.5945205479452,55.4,2.201,3.62,4.935,6.238,7.45074806231701,7.86887452390469,14.6572504028996,-0.946863244506256,42.3474758678833%,-8.94226616175602%
342,Mogul skiing,W,18.2175109081684,58,2.17,3.56,4.85,6.2,7.61748038640204,8.04072109030992,15.3125087994912,-0.947362842317968,43.111937789271%,-8.92286056380799%
343,Mogul skiing,W,18.3287671232877,61.9,2.235,3.704,5.106,6.528,7.6836115085423,7.34988320965819,14.1184118040429,-1.04540593222564,41.6829063053771%,-9.93096526408573%
344,Mogul skiing,W,18.8942337011669,65.9,2.12,3.44,4.67,5.92,7.75204797500128,8.53684119142982,16.5445006177328,-0.908069835337174,44.4436952575689%,-8.50373803684953%
345,Mogul skiing,W,22.7150684931507,78.6,2.16,3.55,4.823,6.081,7.6262923841199,8.07332868393267,15.3923912641931,-0.94462800694558,43.2148767884436%,-8.91433698223431%
346,Nordic combined,M,28.6849315068493,61.5,1.982,3.259,4.426,5.616,9.03225965417155,8.85098996189885,19.9861098830841,-1.02048016019146,47.8974265957497%,-9.42598447637605%
347,Nordic combined,M,17,63,2.11,3.45,4.67,5.94,7.79905316995511,8.52066346450723,16.6132768507465,-0.915310550926231,44.5208090052931%,-8.5602961489905%
348,Nordic combined,M,18.6886713597159,65,2.06,3.34,4.58,5.75,8.56042802262927,8.52776257990483,18.2503244398367,-1.00383048219487,46.2493021273391%,-9.34485590211578%
349,Nordic combined,M,16.576357623034,66,2.12,3.43,4.63,5.84,7.53440569825302,8.793826277628,16.5640637039019,-0.856783550230118,44.3583488823554%,-8.00496308743926%
350,Nordic combined,M,17.9534246575342,67,1.99,3.26,4.42,5.57,8.85447504122458,8.93176547912721,19.7715236272508,-0.991346566579333,47.7161720104469%,-9.16458817951567%
351,Nordic combined,M,26.4246575342466,67,2.116,3.49,4.741,5.99,7.97240990912669,8.20758785764415,16.3585636915775,-0.971346277055271,44.2898810312221%,-9.11465331152671%
352,Nordic combined,M,20.2054794520548,68,2.066,3.309,4.424,5.547,7.52795914613446,9.63561339666052,18.1341259995016,-0.781264132986435,45.7141026125592%,-7.23040737171191%
353,Nordic combined,M,27.572602739726,68,2.04,3.32,4.5,5.69,8.34355389651629,8.86418356892109,18.4896983389768,-0.941265919375791,46.4769176950909%,-8.73957348294691%
354,Nordic combined,M,23.4958904109589,69,1.99,3.23,4.37,5.49,8.67024308962644,9.20622280339748,19.9550474106796,-0.941780714499628,47.8730398358478%,-8.68741994472325%
355,Nordic combined,M,24.3397260273973,69,2.061,3.384,4.603,5.826,8.39991274004358,8.47932847626398,17.806404823696,-0.990634195096616,45.8104414715465%,-9.24184256373772%
356,Nordic combined,M,22.6767123287671,70,2,3.26,4.43,5.56,8.79599504456803,8.92271012664984,19.6210285145323,-0.985798588065375,47.5788544953486%,-9.1216891355776%
357,Nordic combined,M,27.6712328767123,70,2.015,3.291,4.442,5.568,8.43860077683616,9.02022423288172,19.029517804708,-0.935520066793312,46.9978998094445%,-8.66564159462858%
358,Nordic combined,M,18.8630136986301,71,1.985,3.226,4.382,5.507,8.88011714597941,9.06699242726469,20.1289887289547,-0.97938949626523,48.0498403113846%,-9.04114741451816%
359,Nordic combined,M,22.6794520547945,71,1.972,3.225,4.359,5.479,8.8792439689042,9.13897557332139,20.2867984353442,-0.971579790061437,48.192905896194%,-8.96038480341417%
360,Nordic combined,M,22.7945205479452,71,2.096,3.445,4.688,5.915,8.1499730767983,8.30106370800593,16.9133614322589,-0.981798642135236,44.8880078063689%,-9.19655073253168%
361,Nordic combined,M,23.5123287671233,72,2.02,3.31,4.51,5.71,8.78676774920961,8.63992662049613,18.9792571461282,-1.01699564535249,46.9604865694201%,-9.44927410500947%
362,Nordic combined,M,25.1123287671233,72,2.03,3.29,4.45,5.62,8.3092424282806,9.06035080961109,18.8211628405817,-0.917099415120469,46.7785012652058%,-8.50054724364743%
363,Nordic combined,M,26.6712328767123,72,2.118,3.35,4.505,5.679,7.24356910077756,9.49175179492041,17.1885400034838,-0.76314354370855,44.6687974492036%,-7.09570614170174%
364,Nordic combined,M,29.2191780821918,72,2.09,3.4,4.6,5.8,7.88565066104692,8.70668189246223,17.164462955205,-0.905701018877684,45.0971737639839%,-8.45660522191488%
365,Nordic combined,M,25.1205479452055,72.5,1.976,3.221,4.368,5.497,8.93314360332931,9.08809053387681,20.2963044547948,-0.982950551607081,48.2036849093947%,-9.07018845636824%
