ID,Sport,Sex,Age,Body mass,10 m,20 m,30 m,40 m,F0,V0,Pmax,FV Slope,RF max,DRF
,,,(y),(kg),(s),(s),(s),(s),(N/kg),(m/s),(W/kg),(N/s/m/kg),(%),(%)
92,Bandy,M,18.3802970890411,79.2,2.04,3.29,4.46,5.62,8.26181687186831,9.04052694751384,18.6727945163875,-0.913864525799608,46.6349275749353%,-8.48307256030681%
93,Bandy,M,25.9472022450533,79.7,2.08,3.33,4.5,5.67,7.77461735312744,9.14321486654088,17.7712492411954,-0.850315503530191,45.609228464448%,-7.91180168963041%
94,Bandy,M,25.7280492453069,82.1,1.95,3.23,4.37,5.55,9.2863823891586,8.90089070056062,20.6642686623779,-1.04330933853324,48.5082112583274%,-9.64214718527559%
95,Bandy,M,17.8615152207002,82.7,2.23,3.62,4.92,6.22,7.05021576117062,8.05429981958961,14.1961378833161,-0.875335649167558,41.7135291095749%,-8.29064821789153%
96,Bandy,M,18.1765581240487,83.1,2.15,3.49,4.75,6,7.63013308292357,8.31488360150478,15.8609171121251,-0.917647612233887,43.7153687044225%,-8.63319689170501%
97,Bandy,M,18.0532040208016,84.3,2.15,3.48,4.7,5.92,7.35660226292795,8.60230453547587,15.8209332530193,-0.855189703246305,43.5533756257672%,-8.03521389325116%
98,Bandy,M,17.4540783866058,89.5,2.11,3.44,4.67,5.89,7.88211022593443,8.44451468223485,16.6401488824742,-0.933400026234358,44.585941333592%,-8.75864206423112%
99,Bandy,M,21.6869449835109,91.7,2.04,3.42,4.65,5.92,8.83522439967815,8.12959429102726,17.956697459892,-1.08679770273773,45.8813455603226%,-10.1839432531389%
100,Bandy,M,18.2597425799087,98,2.17,3.45,4.65,5.85,7.0190680492048,8.98472267725223,15.7660949687167,-0.781222559821003,43.2389584088806%,-7.33748556849144%
101,Bandy,W,25,52.3,2.25,3.71,5.1,6.54,7.42325276549114,7.46516762074621,13.8539565463898,-0.994385276073562,41.3836104714064%,-9.43394028214747%
102,Bandy,W,19.2157244101979,55.3,2.15,3.59,4.95,6.35,8.40737454772812,7.52299408666411,15.8121572517323,-1.11755697942548,43.5342023779789%,-10.5469110849877%
103,Bandy,W,19.3390113203957,57.2,2.2,3.67,5.06,6.46,8.01655756413774,7.36459912905638,14.7596832137198,-1.08852599084574,42.3873593225818%,-10.3159800473521%
104,Bandy,W,15.6459101027397,59.2,2.42,4.03,5.55,7.13,6.57418463014678,6.73785157985975,11.073970074131,-0.975709326960808,37.6658678645182%,-9.38450983740983%
105,Bandy,W,26.456887493658,59.9,2.37,3.92,5.37,6.85,6.62309139806818,7.09341009961755,11.7450758534367,-0.933696389332583,38.6037824037043%,-8.9444246999926%
106,Bandy,W,18.3307573566717,60.2,2.25,3.74,5.16,6.63,7.6457348233994,7.23849900419805,13.8359109763847,-1.05625970508046,41.3230933797803%,-10.0477480684488%
107,Bandy,W,18.7801096524607,61.8,2.25,3.73,5.12,6.54,7.44074169502949,7.38594150471626,13.7392207277978,-1.00741952671548,41.2446461184165%,-9.57785029677556%
108,Bandy,W,20.7060849822425,62.9,2.25,3.71,5.13,6.57,7.62853968276287,7.3174049206903,13.9552784530826,-1.04251982300348,41.4870791381662%,-9.9113425562029%
109,Bandy,W,32.4923989408929,68.2,2.22,3.6,4.96,6.32,7.53274985023446,7.77346118006848,14.638884634991,-0.969034214713618,42.3446582922711%,-9.17253920557976%
110,Bandy,W,29.9172106481482,68.3,2.34,3.81,5.23,6.65,6.70861873237395,7.38914738309529,12.3927431376262,-0.907901600084708,39.4670195380345%,-8.67321946644734%
111,Bandy,W,18.6020261288686,69.2,2.34,3.84,5.27,6.76,6.77529388803857,7.2596717703906,12.2966024437734,-0.933278266886994,39.3659546284391%,-8.92527135127091%
112,Bandy,W,24.7007689307458,77,2.28,3.76,5.2,6.68,7.44270711002797,7.19524388317029,13.3880232019142,-1.03439261140772,40.7947550023754%,-9.87049097505152%
113,Bandy,W,29.5692040208016,82.4,2.31,3.81,5.23,6.69,7.01569625185179,7.24653499074536,12.7098720933713,-0.968144949387759,39.9423526271559%,-9.25747468165589%
114,Basket,M,20.841095890411,69.9,2.017,3.295,4.459,5.624,8.51928287796382,8.92458690258438,19.0077700980218,-0.954585682335258,46.990436084153%,-8.84833797440173%
115,Basket,M,18.2054794520548,74.9,2.053,3.37,4.578,5.786,8.41820204443974,8.54171484196512,17.976470336413,-0.985540046722403,45.9868499683298%,-9.19244901895408%
116,Basket,M,20.9260273972603,77.7,2.114,3.491,4.718,5.97,7.82956594355486,8.30790503167274,16.2618225745682,-0.942423621082057,44.1782514654117%,-8.8510119475962%
117,Basket,M,27.3945205479452,86,2.046,3.338,4.504,5.702,8.17162031965665,8.88409855076371,18.1493700598132,-0.919802979780564,46.130098646414%,-8.56622196255267%
118,Basket,M,23.5452054794521,88,1.996,3.264,4.431,5.561,8.84101706874685,8.86431770789042,19.5923960395635,-0.997371412001307,47.5613824345802%,-9.25235500876815%
119,Basket,M,20.0712328767123,88.8,2.136,3.5,4.775,6.031,7.91052556340226,8.10980407887067,16.0382031200226,-0.975427456257838,43.9525026483081%,-9.18747440369689%
120,Basket,M,20.186301369863,88.8,1.968,3.158,4.291,5.38,8.91644960822319,9.39460816866086,20.9416375812166,-0.949102873493678,48.7829027913839%,-8.73991784116175%
121,Basket,M,25.5205479452055,92.8,1.987,3.261,4.412,5.559,8.8363867644428,8.91814679629328,19.701048578531,-0.990832172454881,47.6669195923193%,-9.18951888340697%
122,Basket,M,27.9178082191781,94.8,2.183,3.531,4.787,6.046,7.25060533815032,8.35552045504332,15.1456453035903,-0.867762262944843,42.8239300865899%,-8.18895130778592%
123,Basket,M,21.6602739726027,100.5,2.088,3.396,4.594,5.782,7.90769765856736,8.673094575435,17.1460524166752,-0.911750424233181,45.101494982691%,-8.53846252650602%
124,Beach/volleyball,M,22,70.3,2.12,3.47,4.77,6.1,8.27992238200777,8.03119013105016,16.6244077300605,-1.03097078352011,44.5588255967414%,-9.68249690950786%
125,Beach/volleyball,M,25.4630136986301,71.2,2.04,3.37,4.6,5.84,8.78301404950794,8.34573546762767,18.3251779664126,-1.05239545197382,46.2889759221742%,-9.81641013064642%
126,Beach/volleyball,M,22,74.9,2.09,3.42,4.67,5.93,8.27268031038004,8.31398838551113,17.1947420043866,-0.995031497132823,45.1844668639945%,-9.3162752921005%
127,Beach/volleyball,M,20,81.5,2.02,3.3,4.46,5.64,8.45413963288473,8.92547042125455,18.8642933076171,-0.947192611019424,46.8555524135628%,-8.7959197152881%
128,Beach/volleyball,M,21.3682693746829,85,2.08,3.32,4.48,5.77,7.70356970487679,9.25744539863076,17.8288439793607,-0.832148543486543,45.6161986381463%,-7.74123128685482%
129,Beach/volleyball,M,30.758904109589,85.5,2.03,3.34,4.55,5.76,8.74963122593305,8.49521319867324,18.5824956685175,-1.02994839815198,46.574016031676%,-9.60406728220217%
130,Beach/volleyball,M,20.3136269660071,86,2.12,3.48,4.76,6.03,8.14063917823065,8.075235915636,16.4343954670704,-1.00809923862014,44.3781472867889%,-9.48431438192946%
131,Beach/volleyball,M,26.4752742579909,86,2.05,3.4,4.64,5.85,8.74788396185175,8.2100269857232,17.9550908486945,-1.06551220563146,45.9107843131991%,-9.97374084964376%
132,Beach/volleyball,M,24,87.2,2.06,3.44,4.65,5.9,8.39066196465527,8.27613078152735,17.3605539407686,-1.01383873529205,45.3560142051083%,-9.50167393117835%
133,Beach/volleyball,M,28.1452054794521,87.2,2.04,3.34,4.53,5.71,8.44331016157843,8.6749296253263,18.3112803641238,-0.973300133401468,46.3278606294458%,-9.07291893953308%
